title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,contains_hacks,contains_life,contains_ideas,all_words_uppercase,all_words_lowercase
Clever Recycling Hacks || How to Reuse Old Stuff,10,572,432458,48,9,2,0,1,2,5.333333333333333,0,0,0.1333333333333333,True,False,False,False,False
CATCH THE CANDY CHALLENGE 🍬 #shorts,10,25,27156933,35,6,1,4,0,1,5.833333333333333,0,0,0.0,False,False,False,False,False
USEFUL HACKS & CRAFTS FOR THE BEST PARENTS EVER,10,960,368205,47,9,1,8,0,2,5.222222222222222,0,0,0.65,True,False,False,True,False
SMART GADGETS & FUN TOYS THAT YOUR PETS WILL LOVE,10,900,651429,49,10,1,9,0,3,4.9,0,0,0.338095238095238,False,False,False,True,False
MYSTERY BOX CHALLENGE GONE WRONG 🤪 #shorts,10,24,644367,42,7,1,5,0,0,6.0,0,0,-0.5,False,False,False,False,False
SUMMER HOUSE vs WINTER HOUSE || Amazing Huge Craft Ideas,10,2040,1706885,56,10,2,4,1,0,5.6,0,0,0.5000000000000001,False,False,True,False,False
BEST HACKS & GADGETS FOR SMART PET OWNERS,10,900,188045,41,8,1,7,0,1,5.125,0,0,0.6071428571428571,True,False,False,True,False
KITCHEN HACKS & GADGETS TO COOK LIKE A PRO,10,960,786746,42,9,1,8,0,2,4.666666666666667,0,0,0.0,True,False,False,True,False
5-MINUTE CRAFTS BOTTLE CHALLENGE #shorts,10,32,3076818,40,5,2,4,0,0,8.0,1,1,0.0,False,False,False,False,False
GENIUS CLEANING HACKS TO KEEP YOUR PLACE NEAT,10,589,334818,45,8,0,8,0,2,5.625,0,0,0.0,True,False,False,True,False
SMART HACKS FOR PARENTS TO MAKE YOUR LIFE EASIER,10,960,945979,48,9,0,9,0,3,5.333333333333333,0,0,0.2142857142857142,True,True,False,True,False
Fantastic Gadgets And Hacks For The Best Pet Owners,15,960,1004709,51,9,0,0,0,3,5.666666666666667,0,0,0.7,True,False,False,False,False
EASY & TASTY RECIPES TO COOK UNDER 5 MINUTES,15,900,896460,44,9,1,7,0,2,4.888888888888889,1,0,0.4333333333333333,False,False,False,True,False
CANDY CHALLENGE FOR COUPLES 🍬 #shorts,15,11,802983,37,6,1,4,0,1,6.166666666666667,0,0,0.0,False,False,False,False,False
HOW TO HIDE CANDIES FROM YOUR KIDS 🍬 Priceless Hacks For Smart Parents,15,900,157112,70,13,0,7,0,5,5.384615384615385,0,0,0.6071428571428571,True,False,False,False,False
INCREDIBLE CEMENT CRAFTS FOR HOME THAT YOU SHOULD TRY,15,1140,8021081,53,9,0,9,0,4,5.888888888888889,0,0,0.9,False,False,False,True,False
HOW TO FILM COOKING HACKS 👩‍🍳 #shorts,15,18,4118413,37,7,1,5,0,2,5.285714285714286,0,0,0.0,True,False,False,False,False
HOW TO TIE DYE || Amazing Ways To Transform Your Clothes,20,602,589254,56,11,2,4,0,4,5.090909090909091,0,0,0.6000000000000001,False,False,False,False,False
PARENTING LIFE IS FUN! Priceless Hacks For Smart Parents,20,900,402731,56,9,1,4,0,2,6.222222222222222,0,0,0.5297619047619048,True,True,False,False,False
BEST SUMMER HACKS YOU WISH YOU KNEW SOONER,20,3960,1264717,42,8,0,8,0,2,5.25,0,0,1.0,True,False,False,True,False
VIRAL TOOTHPASTE CHALLENGE #shorts,20,31,81536845,34,4,1,3,0,0,8.5,0,0,0.0,False,False,False,False,False
GENIUS HACKS FOR SMART PET OWNERS,30,900,10094013,33,6,0,6,0,1,5.5,0,0,0.2142857142857142,True,False,False,True,False
WE TESTED VIRAL TIKTOK HACKS! #shorts,30,18,6858201,37,6,2,5,0,1,6.166666666666667,0,0,0.0,True,False,False,False,False
100+ Amazing Parenting Hacks That Will Change Your Life,30,3720,3113351,55,9,1,0,0,3,6.111111111111111,1,1,0.6000000000000001,True,True,False,False,False
Refreshing Hacks For Hot Days Everyone Should Know,30,616,638820,50,8,0,0,0,2,6.25,0,0,0.375,True,False,False,False,False
HOW TO MAKE DRINKING STRAW SLIPPERS #shorts,30,29,2055207,43,7,1,6,0,2,6.142857142857143,0,0,0.0,False,False,False,False,False
30+ BRILLIANT HACKS FOR TRENDY PARENTS,30,960,836763,38,6,1,5,0,1,6.333333333333333,1,1,0.75,True,False,False,True,False
POSITIVE PARENTING TIPS || Cute Crafts And DIY Ideas For Parents,30,900,266479,64,11,2,4,0,2,5.818181818181818,0,0,0.3636363636363636,False,False,True,False,False
SMART HACKS WITH FRUITS & VEGGIES || How To Cut And Peel Fruits Like a Pro,30,626,719071,74,16,3,5,1,5,4.625,0,0,0.2142857142857142,True,False,False,False,False
Best Hacks and Gadgets For Your Adorable Pets,30,1980,1159500,45,8,0,0,1,3,5.625,0,0,0.75,True,False,False,False,False
COOL MYSTERY BOX! Awesome TikTok Challenges and Fun Experiments,30,900,229500,63,9,1,3,1,1,7.0,0,0,0.5791666666666667,False,False,False,False,False
BACK to SCHOOL! Awesome School Crafts and Hacks For Parents,30,3720,4950989,59,10,1,2,2,3,5.9,0,0,0.5,True,False,False,False,False
"EASY HALLOWEEN DECOR, MAKEUP IDEAS AND COSTUMES",30,1080,477177,47,7,1,7,0,1,6.714285714285714,0,0,0.4333333333333333,False,False,True,True,False
BEST GADGETS & HACKS FOR PET OWNERS🐶🐱 #shorts,30,55,1409594,45,8,2,6,0,1,5.625,0,0,1.0,True,False,False,False,False
How to Be Friends With Your Kid? Positive Parenting Hacks,30,552,594133,57,10,1,0,1,5,5.7,0,0,0.2272727272727272,True,False,False,False,False
CRAZY MAKEUP IDEAS FOR A HALLOWEEN PARTY,30,900,259053,40,7,0,7,0,2,5.714285714285714,0,0,-0.6,False,False,True,True,False
AMAZING DESSERTS FOR REAL FOODIES || Easy Sweet Recipes Anyone Can Make,30,1020,2934103,71,12,2,5,0,2,5.916666666666667,0,0,0.3958333333333333,False,False,False,False,False
How to Play DALGONA GAME #shorts,30,31,3694032,32,6,1,2,1,2,5.333333333333333,0,0,-0.4,False,False,False,False,False
AMAZING BACKYARD DECOR IDEAS || How to Upgrade Your Backyard,30,2220,3986298,60,10,2,4,1,3,6.0,0,0,0.6000000000000001,False,False,True,False,False
MINI FOOD vs GIANT FOOD || Mouth-Watering Recipes You Should Try,30,611,450625,64,11,3,4,1,2,5.818181818181818,0,0,0.35,False,False,False,False,False
UNUSUAL RECYCLING IDEAS FOR YOUR HOUSE,30,960,464671,38,6,0,6,0,2,6.333333333333333,0,0,0.2,False,False,True,True,False
OMG! WE MADE AMAZING CRAFTS THAT WILL SURPRISE YOUR FRIENDS AND PARENTS!,30,558,783498,72,12,2,12,0,5,6.0,0,0,0.7500000000000001,False,False,False,True,False
EXTREME ROOM TRANSFORMATION || Cool Design Ideas For Your Place,30,1020,364401,63,10,2,3,0,2,6.3,0,0,0.1124999999999999,False,False,True,False,False
LATE SUMMER HACKS TO SAVE YOUR DAY,30,629,1186501,34,7,0,7,0,2,4.857142857142857,0,0,-0.3,True,False,False,True,False
EVERY SMART PARENT KNOWS THESE USEFUL HACKS #shorts,30,41,16586831,51,8,1,7,0,1,6.375,0,0,0.2571428571428571,True,False,False,False,False
SMART HACKS TO SAVE YOUR WEDDING DAY🤵‍👰‍💍🕊️,30,784,270571,43,7,0,7,0,2,6.142857142857143,0,0,0.2142857142857142,True,False,False,True,False
MINI FOOD COOKING || Amazing Mini Crafts & Miniature House Models,30,1080,242834,65,11,3,3,0,0,5.909090909090909,0,0,0.6000000000000001,False,False,False,False,False
Emergency Hacks For Smart Moms And Dads || Everyday Parenting Tips,30,900,246056,66,11,2,0,0,2,6.0,0,0,0.0071428571428571,True,False,False,False,False
Best DIY Jewelry Ideas || 3D Pen & Epoxy Resin Crafts,30,960,729639,53,11,3,2,0,0,4.818181818181818,1,0,1.0,False,False,True,False,False
TRENDY FIDGET TOYS YOU NEED TO SEE || DIY Fidget Toys Ideas,30,696,1558659,59,12,2,8,0,2,4.916666666666667,0,0,0.6,False,False,True,False,False
"Wow! Useful Gadgets, Toys And Hacks For Smart Pet Owners",30,900,4994512,56,10,2,0,0,2,5.6,0,0,0.2130952380952381,True,False,False,False,False
"GUIDE FOR PARENTS: Useful Gadgets, Crafts And Hacks",30,3600,2878459,51,8,2,3,0,2,6.375,0,0,0.3,True,False,False,False,False
GLUE GUN vs 3D PEN! Genius Hacks & Cool Crafts,30,1020,712237,46,10,2,4,1,0,4.6,1,0,0.35,True,False,False,False,False
FANTASTIC ART HACKS FOR BEGINNERS,30,900,313048,33,5,0,5,0,1,6.6,0,0,0.4,True,False,False,True,False
PRICELESS HACKS AND CRAFTS FOR SMART PARENTS,30,3780,7971044,44,7,0,7,0,2,6.285714285714286,0,0,0.6071428571428571,True,False,False,True,False
Fun Activities and Cool Crafts for Parents to Do With Their Kids,30,576,2072573,64,12,0,0,3,6,5.333333333333333,0,0,0.3249999999999999,False,False,False,False,False
IF OBJECTS WERE PEOPLE || Funny Situations And Relatable Moments,30,900,205542,64,10,2,4,0,3,6.4,0,0,0.25,False,False,False,False,False
Brilliant Hacks & Crafts All Parents Should Know,30,900,769217,48,8,1,0,0,2,6.0,0,0,0.9,True,False,False,False,False
30+ AMAZING CRAFT IDEAS & HACKS WITH 3D PEN,30,960,956575,43,9,2,7,0,1,4.777777777777778,1,1,0.6000000000000001,True,False,True,True,False
Food Hacks & Snack Ideas For The Best Parents Ever,30,1020,786365,50,10,1,0,0,2,5.0,0,0,1.0,True,False,True,False,False
SPOOKY HALLOWEEN IDEAS || Easy Halloween Recipes and DIYs,30,603,546255,57,9,2,3,1,1,6.333333333333333,0,0,0.4333333333333333,False,False,True,False,False
AMAZING GARDEN HACKS & PLANTING IDEAS,30,900,394058,37,6,1,5,0,0,6.166666666666667,0,0,0.6000000000000001,True,False,True,True,False
KIDS vs DOCTOR👩‍⚕💉 || All Parents Should Know These Valuable Life Hacks,30,3660,3706738,71,12,2,2,1,3,5.916666666666667,0,0,0.0,True,True,False,False,False
"MYSTERY BOX CHALLENGE! Popular TikTok Challenges, Games And Experiments",30,900,264513,71,9,2,3,0,1,7.888888888888889,0,0,0.6,False,False,False,False,False
"POP IT MEGA COMPILATION || Best Crafts, Fun DIYs And Life Hacks",30,900,597579,63,12,3,4,0,2,5.25,0,0,0.65,True,True,False,False,False
50 CREATIVE WAYS TO COOK EGGS,30,900,388093,29,6,0,5,0,1,4.833333333333333,1,1,0.5,False,False,False,True,False
PARENTING IS EASY! Top Hacks & Crafts From Smart Parents,30,960,2463052,56,10,2,3,0,2,5.6,0,0,0.4186507936507936,True,False,False,False,False
BEST WEDDING DAY HACKS FOR SMART BRIDES AND GROOMS,60,611,1220718,50,9,0,9,0,2,5.555555555555555,0,0,0.6071428571428571,True,False,False,True,False
BEST PET GADGETS AND HACKS EVERY PET OWNER SHOULD KNOW,60,960,2466890,54,10,0,10,0,2,5.4,0,0,1.0,True,False,False,True,False
Best Snack Ideas For Parents || Easy Family Meal Ideas,60,3660,692515,54,10,2,0,0,1,5.4,0,0,0.7166666666666667,False,False,True,False,False
OMG! WE BUILT A GIANT POOL IN OUR BACKYARD😎💦🍹 #shorts,60,59,22808458,53,10,2,9,0,4,5.3,0,0,0.0,False,False,False,False,False
50 BEST ART HACKS FOR BEGINNERS,60,900,404343,31,6,0,5,0,1,5.166666666666667,1,1,1.0,True,False,False,True,False
AWESOME SHOE HACKS || How To Renovate Old Shoes,60,960,551818,47,9,2,3,0,2,5.222222222222222,0,0,0.55,True,False,False,False,False
30+ SMART PARENTING HACKS AND CRAFTS,60,545,2137981,36,6,1,5,0,1,6.0,1,1,0.2142857142857142,True,False,False,True,False
Brilliant Kitchen Hacks & Yummy Recipes To Make You Love Cooking,60,900,306388,64,11,1,0,0,2,5.818181818181818,0,0,0.7,True,False,False,False,False
CREEPY REALISTIC SOAP IDEAS || DIY Candle And Soap Crafts,60,960,421632,57,10,2,5,0,1,5.7,0,0,-0.1666666666666666,False,False,True,False,False
SURVIVAL GUIDE FOR PARENTS || Best Hacks For Moms And Dads,60,3720,6079382,58,11,2,4,0,3,5.2727272727272725,0,0,1.0,True,False,False,False,False
CLEVER HIDING PLACES FOR MONEY & JEWELRY || Valuable Home Hacks,60,960,887005,63,11,3,6,0,1,5.727272727272728,0,0,0.1666666666666666,True,False,False,False,False
GADGETS vs HACKS || Kitchen Devices And Clever Tips To Make Cooking Easier,60,1020,481159,74,13,2,2,1,2,5.6923076923076925,0,0,0.1666666666666666,True,False,False,False,False
MESMERIZING CLAY POTTERY TRICKS AND CRAFTS,60,900,249021,42,6,0,6,0,1,7.0,0,0,0.3,False,False,False,True,False
BEST SUMMER GADGETS AND HACKS || Useful Gadgets For Any Occasions,60,3660,1779466,65,11,2,5,0,3,5.909090909090909,0,0,0.65,True,False,False,False,False
GENIUS HACKS AND GADGETS FOR PET OWNERS,60,563,2711481,39,7,0,7,0,2,5.571428571428571,0,0,0.0,True,False,False,True,False
NAIL HACKS YOU MUST KNOW || Pedicure & Manicure Guide,60,900,692434,53,10,3,5,0,1,5.3,0,0,0.0,True,False,False,False,False
FIX ANYTHING WITH A 3D PEN || Brilliant Repair Hacks,60,652,398771,52,10,2,6,0,2,5.2,1,0,0.9,True,False,False,False,False
UNUSUAL SOAP AND CANDLE IDEAS TO MAKE AT HOME,60,610,765511,45,9,0,9,0,3,5.0,0,0,0.2,False,False,True,True,False
EXTREME ROOM MAKEOVER || Fantastic Transformations & Wooden House Tutorials,60,3780,4107610,75,10,3,3,0,0,7.5,0,0,0.0916666666666666,False,False,False,False,False
BRILLIANT HACKS FOR A FAMILY TRIP,60,900,624897,33,6,0,6,0,2,5.5,0,0,0.9,True,False,False,True,False
EMERGENCY HACKS FOR SMART PARENTS || Valuable Parenting Tips,60,625,2057693,60,9,2,5,0,1,6.666666666666667,0,0,0.2142857142857142,True,False,False,False,False
TOP 25 PLASTIC RECYCLING IDEAS,60,616,619426,30,5,0,4,0,0,6.0,1,0,0.5,False,False,True,True,False
100+ BEST SUMMER HACKS & GADGETS,60,3780,3581471,32,6,2,4,0,0,5.333333333333333,1,1,1.0,True,False,False,True,False
EXCELLENT CLOTHING HACKS FOR CRAFTY PARENTS,60,783,148156,43,6,0,6,0,1,7.166666666666667,0,0,0.7,True,False,False,True,False
How to Make POP IT Soap || Candle and Soap Ideas for Crafters,60,1260,242859,61,13,2,2,3,5,4.6923076923076925,0,0,0.0,False,False,True,False,False
COOL EGG HACKS || VALUABLE HOME HACKS FOR ALL OCCASIONS,60,656,552011,55,10,2,9,0,2,5.5,0,0,0.35,True,False,False,True,False
Amazing Kid’s Room Makeover || Guide For Parents,60,528,23824479,48,8,2,0,0,1,6.0,0,0,0.6000000000000001,False,False,False,False,False
UNEXPECTED LIFE HACKS WITH TOOTHBRUSH & TOOTHPASTE || Useful Everyday Tips,60,671,366962,74,11,3,6,0,1,6.727272727272728,0,0,0.0666666666666666,True,True,False,False,False
100+ BEST PARENTING HACKS EVER,60,3600,630430,30,5,1,4,0,0,6.0,1,1,1.0,True,False,False,True,False
HOW TO BE A COOL PARENT || Everyday Hacks & Tips For Parents,60,713,327415,60,13,3,6,0,5,4.615384615384615,0,0,0.0749999999999999,True,False,False,False,False
BEST GADGETS & CRAFTS FOR YOUR PHONE || Upgrade Your Phone With These DIYs,60,771,246954,74,14,3,6,0,5,5.285714285714286,0,0,1.0,False,False,False,False,False
How to Make Doll Dress from Balloon 🎀 Parenting Hacks For Smart Moms and Dads,60,3780,2943761,77,15,0,0,3,5,5.133333333333334,0,0,0.2142857142857142,True,False,False,False,False
YOU'VE BEEN DOING THESE THINGS WRONG || Random Hacks For All Occasions,60,632,436251,70,12,3,6,0,6,5.833333333333333,0,0,-0.5,True,False,False,False,False
POSITIVE PARENTING TIPS || How To Be A Cool Parent,60,682,715188,50,10,2,4,0,4,5.0,0,0,0.2886363636363636,False,False,False,False,False
BRILLIANT FASHION HACKS TO UPGRADE YOUR WARDROBE,60,633,564145,48,7,0,7,0,2,6.857142857142857,0,0,0.9,True,False,False,True,False
"Ingenious Gadgets For Parents || Useful Devices, Crafts & Everyday Tips",60,737,821247,71,11,4,0,0,1,6.454545454545454,0,0,0.2,False,False,False,False,False
MEGA SUMMER HACKS For Smart Parents,60,3720,11882263,35,6,0,3,0,1,5.833333333333333,0,0,0.2142857142857142,True,False,False,False,False
20+ AWESOME EXPERIMENTS TO BLOW YOUR MIND,60,655,152922,41,7,1,6,0,2,5.857142857142857,1,1,1.0,False,False,False,True,False
PARENTING IS EASY With These Simple Everyday Hacks,60,821,263061,50,8,0,3,0,3,6.25,0,0,0.0777777777777777,True,False,False,False,False
TOP HACKS AND GADGETS FOR BEST PET OWNERS,60,688,191048,41,8,0,8,0,2,5.125,0,0,0.75,True,False,False,True,False
CHILD YOU VS. ADULT YOU || Funny Situations and Cool Hacks,60,581,582212,58,11,3,5,1,3,5.2727272727272725,0,0,0.2333333333333333,True,False,False,False,False
GREATEST SUMMER HACKS FROM 5-MINUTE CRAFTS #shorts,60,60,43221266,50,7,2,6,0,1,7.142857142857143,1,0,1.0,True,False,False,False,False
HOW TO BE A GOOD PARENT? Best Parenting Hacks For Everyday,60,3600,5410983,58,11,1,6,0,5,5.2727272727272725,0,0,0.5,True,False,False,False,False
Best Swimming Pool Hacks || Everyday Hack For Hot Days,60,792,772988,54,10,2,0,0,1,5.4,0,0,0.35,True,False,False,False,False
SUMMERLICIOUS RECIPES YOU'LL WANT TO TRY,60,900,427791,40,6,1,6,0,2,6.666666666666667,0,0,0.0,False,False,False,True,False
20+ CRAZY SCHOOL PRANKS || Smart Hacks And Crafts For Students,60,898,308352,62,11,3,3,0,2,5.636363636363637,1,1,-0.1928571428571428,True,False,False,False,False
Smart Kitchen Hacks to Improve Your Cooking Skills || Tasty Recipes For The Whole Family,60,899,641161,88,15,2,0,1,4,5.866666666666666,0,0,0.2071428571428571,True,False,False,False,False
TOP 30 GENIUS PARENTING HACKS AND GADGETS,60,900,1952153,41,7,0,6,0,1,5.857142857142857,1,0,0.5,True,False,False,True,False
50 Simple Hacks to Be a Good Parent || Useful Ideas For Crafty Parents,60,960,339737,70,14,2,0,2,4,5.0,1,1,0.35,True,False,True,False,False
SMART BEACH HACKS THAT WILL SAVE YOUR SUMMER,60,676,3566741,44,8,0,8,0,3,5.5,0,0,0.2142857142857142,True,False,False,True,False
Smart Parenting Hacks You'll Be Glad to Know || Cool Crafts to Make With Your Kids,60,3660,716281,82,16,3,0,2,6,5.125,0,0,0.3547619047619048,True,False,False,False,False
CRAZY HALLOWEEN MAKEUP IDEAS #shorts,60,57,65371238,36,5,1,4,0,0,7.2,0,0,-0.6,False,False,True,False,False
Amazing Camping Tips to Make Your Trip Unforgettable 🏕,60,802,316088,54,9,0,0,1,2,6.0,0,0,0.7000000000000001,False,False,False,False,False
TRAVELING WITH KIDS IS FUN! Smart Parenting Hacks For A Family Trip,60,567,2972554,67,12,1,6,0,4,5.583333333333333,0,0,0.2946428571428571,True,False,False,False,False
35 Useful Gardening Hacks || Easy Ways to Grow And Collect Food,60,827,3868421,63,12,2,0,1,2,5.25,1,1,0.3666666666666667,True,False,False,False,False
Easy Photography Hacks || 30+ Ideas For Everyone,60,1020,388459,48,8,3,0,0,1,6.0,1,0,0.4333333333333333,True,False,True,False,False
WATER POOL SUMMER HACKS,60,900,474198,23,4,0,4,0,0,5.75,0,0,0.0,True,False,False,True,False
50 COOL SOAP HACKS || DIY Soap Crafts For The Whole Family,60,900,498807,58,12,2,4,0,2,4.833333333333333,1,1,0.275,True,False,False,False,False
WOW! 35+ Best Hacks || Summer DIYs and Trendy Gadgets,60,960,600793,53,10,4,1,1,1,5.3,1,0,0.5750000000000001,True,False,False,False,False
100+ BEST PARENTING LIFE HACKS || Smart Tips for Parents,90,3600,2172611,56,10,3,4,1,1,5.6,1,1,0.6071428571428571,True,True,False,False,False
BACK to SCHOOL! Brilliant School Crafts & DIYs,90,677,2111831,46,8,2,2,1,1,5.75,0,0,0.45,False,False,False,False,False
These Parenting Hacks Will Change Your Life || Gadgets And Tips For Parents,90,797,161470,75,13,2,0,0,5,5.769230769230769,0,0,0.0,True,True,False,False,False
BEST HACKS TO STORE FOOD FOR LONGER || Kitchen Hacks & Tasty Recipes,90,614,802671,68,13,3,7,0,2,5.230769230769231,0,0,1.0,True,False,False,False,False
BECOME A COOL PARENT WITH THESE PRICELESS HACKS AND CRAFTS,90,3840,5956789,58,10,0,10,0,4,5.8,0,0,0.675,True,False,False,True,False
DIY GIANT BACKYARD POOL || Easy Backyard Decor Ideas For Parents and Kids,90,496,12250722,73,13,2,4,1,2,5.615384615384615,0,0,0.2166666666666666,False,False,True,False,False
FIRST AID HACKS FOR SUMMER! Emergency Tips You Should Know,90,624,828683,58,10,1,5,0,3,5.8,0,0,0.3125,True,False,False,False,False
BEST SUMMER HACKS FOR SMART PARENTS #shorts,90,59,199331430,43,7,1,6,0,1,6.142857142857143,0,0,0.6071428571428571,True,False,False,False,False
Ingenious Everyday Hacks To Make Your Life More Comfortable,90,1860,2258440,59,9,0,0,0,3,6.555555555555555,0,0,0.3,True,True,False,False,False
"ODDLY SATISFYING VIDEO TO RELAX || Tricks With Kinetic Sand, Slime",90,692,661621,66,11,3,5,0,2,6.0,0,0,0.5,False,False,False,False,False
TOP ALOE HACKS & TIPS FOR YOUR EVERYDAY BEAUTY ROUTINE,90,675,382733,54,10,1,9,0,2,5.4,0,0,0.15,True,False,False,True,False
LOVELY PHOTO IDEAS FOR PARENTS || Cool Parenting Hacks You’ve Never Seen Before,90,620,6852030,79,13,2,5,0,2,6.076923076923077,0,0,0.425,True,False,True,False,False
MEGA PARENTING COMPILATION || How to be good friends with your kids,90,3600,2483956,67,12,2,3,7,5,5.583333333333333,0,0,0.7,False,False,False,False,False
BEST BACK TO SCHOOL HACKS AND DIYS YOU NEED TO TRY,90,781,1842003,50,11,0,11,0,4,4.545454545454546,0,0,0.5,True,False,False,True,False
ADORABLE CRAFTS WITH EPOXY RESIN || DIY Soap And Candle Ideas,90,611,1103334,61,11,2,6,0,2,5.545454545454546,0,0,0.5,False,False,True,False,False
